ID,Sub-task A
C52.88,NAG
C52.89.1,NAG
C52.90.1,NAG
C52.91.2,NAG
C52.91.4,NAG
C52.92.1,NAG
C52.96,NAG
C52.96.1,NAG
C52.97,NAG
C52.97.1,NAG
C52.97.2,NAG
C52.97.3,NAG
C52.98,NAG
C52.103,NAG
C52.104.2,NAG
C52.105,NAG
C52.105.1,NAG
C52.106,NAG
C52.106.1,NAG
C52.107,NAG
C52.108.1,NAG
C52.111.1,NAG
C52.112,NAG
C52.113,NAG
C52.114.4,NAG
C52.116,NAG
C52.116.1,NAG
C52.117,NAG
C52.121,NAG
C52.121.1,NAG
C52.121.2,NAG
C52.123,NAG
C52.124,NAG
C52.126.1,NAG
C52.128,NAG
C52.129,NAG
C52.130,NAG
C52.130.1,NAG
C52.132.2,NAG
C52.134,NAG
C52.134.1,NAG
C52.134.2,NAG
C52.136.1,NAG
C52.137.1,NAG
C52.137.3,NAG
C52.139.2,NAG
C52.139.5,NAG
C52.141,NAG
C52.141.1,NAG
C52.141.3,NAG
C52.141.4,NAG
C52.143,NAG
C52.143.2,NAG
Youtube Corpus 53,NAG
C53.2,NAG
C53.4.1,NAG
C53.5,NAG
C53.11.1,NAG
C53.11.4,NAG
C53.13.1,NAG
Youtube Corpus 60,NAG
C60.1.1,NAG
C60.1.3,NAG
C60.1.5,NAG
C60.5,NAG
C60.8,NAG
C60.9,NAG
C60.13,NAG
C60.21,NAG
C60.27,NAG
C60.29,NAG
C60.33,NAG
C60.34,NAG
C60.35,NAG
C60.36,NAG
C60.39,NAG
C60.48,NAG
C60.58,NAG
C60.68,NAG
C60.69,NAG
C60.70,NAG
C60.79,NAG
C60.82,NAG
C60.91,NAG
C60.109,NAG
C60.110,NAG
C60.111,NAG
C60.112,NAG
C60.117,NAG
C60.127,NAG
C60.134,NAG
C60.136,NAG
C60.137,NAG
C60.145,NAG
C60.154,NAG
C60.155,NAG
C60.159,NAG
C60.160,NAG
C60.161,NAG
C60.167,NAG
C60.171,NAG
C60.175,NAG
C60.177,NAG
C60.178,NAG
C60.180,NAG
C60.184,NAG
C60.193,NAG
C60.195,NAG
C60.197,NAG
C60.206,NAG
C60.207,NAG
C60.209,NAG
C60.213,NAG
C60.218,NAG
C60.220,NAG
C60.221,NAG
C60.224,NAG
C60.227,NAG
C60.235,NAG
C60.240,NAG
C60.242,NAG
C60.244,NAG
C60.257,NAG
C60.258,NAG
C60.263,NAG
C60.266,NAG
C60.267,NAG
C60.270,NAG
C60.279,NAG
C60.286,NAG
C60.287,NAG
C60.296,NAG
C60.298,NAG
C60.299,NAG
C60.300,NAG
C60.305,NAG
C60.314,NAG
C60.321,NAG
C60.322,NAG
C60.325,NAG
C60.326,NAG
C60.331,NAG
C60.333,NAG
C60.335,NAG
C60.339,NAG
C60.342,NAG
C60.344,NAG
C60.345,NAG
C60.347,NAG
C60.348,NAG
C60.352,NAG
C60.355,NAG
C60.357,NAG
C60.359,NAG
C60.360,NAG
C60.367,NAG
C60.370,NAG
C60.372,NAG
C60.373,NAG
C60.384,NAG
C60.389,NAG
C60.394,NAG
C60.396,NAG
C60.398,NAG
C60.406,NAG
C60.408,NAG
C60.426,NAG
C60.428,NAG
C60.430,NAG
C60.432.1,NAG
C60.432.3,NAG
C60.434,NAG
C60.436,NAG
C60.439,NAG
C60.441,NAG
C60.450,NAG
C60.452,NAG
C60.465,NAG
C60.466,NAG
C60.471,NAG
C60.472,NAG
C60.474,NAG
C60.475,NAG
C60.478,NAG
C60.481,NAG
C60.482,NAG
C60.483,NAG
C60.486,NAG
C60.487,NAG
C60.495.2,NAG
C60.495.4,NAG
C60.496,NAG
C60.499,NAG
C60.506,NAG
C60.513,NAG
C60.519,NAG
C60.522,NAG
C60.523,NAG
C60.526,NAG
C60.528,NAG
C60.531,NAG
C60.538,NAG
C60.539,NAG
C60.540,NAG
C18.52,CAG
C24.24.1,OAG
C24.29,CAG
C24.33,CAG
C24.41,OAG
C24.49,OAG
C24.68,CAG
C24.75,CAG
C24.80.2,CAG
C24.80.4,CAG
C24.80.5,CAG
C24.84,OAG
C24.90,CAG
C24.92.1,OAG
C24.96.2,OAG
C24.96.3,OAG
C24.116,CAG
C24.121,CAG
C24.124,OAG
C24.126,CAG
C24.134,OAG
C24.134.1,OAG
C24.136,OAG
C24.142,CAG
C24.145,CAG
C24.147,OAG
C24.149,CAG
C24.150,OAG
C24.155,CAG
C24.155.2,OAG
C24.165,CAG
C24.167,CAG
C24.178,OAG
C24.179.3,CAG
C24.179.4,CAG
C24.179.5,CAG
C24.180,CAG
C24.184,OAG
C24.192,CAG
C24.194.2,OAG
C24.195,CAG
C24.197.1,OAG
C24.199,CAG
C24.200,CAG
C24.202,OAG
C24.203,OAG
C24.215.1,CAG
C24.218,CAG
C24.222,OAG
C24.224,CAG
C24.227,CAG
C24.232,CAG
C24.238,CAG
C24.245,OAG
C24.249.3,OAG
C24.256,CAG
C24.261,OAG
C24.264,OAG
C24.265,OAG
C24.269,OAG
C24.282,OAG
C24.282.1,OAG
C24.290,CAG
C24.292,CAG
C24.308,CAG
C24.312,CAG
C24.314,OAG
C24.316,OAG
C24.322,OAG
C24.323,OAG
C24.334,OAG
C24.338.4,CAG
C24.340,CAG
C24.340.1,CAG
C24.344,OAG
C24.346,CAG
C24.351,CAG
C24.358,CAG
C24.359,CAG
C24.359.1,CAG
C24.370,CAG
C24.379,CAG
C24.379.1,OAG
C24.379.2,CAG
C24.379.3,OAG
C24.392,CAG
C24.408,CAG
C24.414,CAG
C24.422,OAG
C24.432,CAG
C24.443,OAG
C24.447,OAG
C24.454,OAG
C24.457,CAG
C24.471.2,CAG
C24.472,OAG
C24.496,CAG
C24.497.1,OAG
C24.500,CAG
C24.509,OAG
C24.510,CAG
C24.512.4,OAG
C24.515,OAG
C24.523,CAG
C24.523.2,CAG
C24.527,OAG
C24.529,CAG
C24.531,OAG
C24.531.1,OAG
C24.532,OAG
C24.536,CAG
C24.536.2,OAG
C24.551,OAG
C24.553,CAG
C24.554,OAG
C24.555,OAG
C24.557,CAG
C24.561,CAG
C24.562,CAG
C24.569,CAG
C24.573,OAG
C24.582.1,OAG
C24.582.4,OAG
C24.593.2,CAG
C24.598,CAG
C24.606,CAG
C24.611,CAG
C24.615,CAG
C24.619,OAG
C24.627,CAG
C24.630,OAG
C24.633,CAG
C24.634,OAG
C24.635.1,OAG
C24.638,CAG
C24.654.1,OAG
C24.662,CAG
C24.663,OAG
C24.663.1,CAG
C24.669,CAG
C24.671,CAG
C24.676,CAG
C24.692,CAG
C24.695,OAG
C24.696,OAG
C24.707,CAG
C24.709,OAG
C24.710,CAG
C24.714,OAG
C24.717,OAG
C24.735,OAG
C24.740.3,CAG
C24.740.5,CAG
C24.742,CAG
C24.748.4,OAG
C24.749,OAG
C24.764,CAG
C24.772,CAG
C24.777,CAG
C24.783.1,OAG
C24.783.3,CAG
C24.786,OAG
C24.786.1,CAG
C24.786.5,OAG
C24.790.1,OAG
C24.799,CAG
C24.800,NAG
C24.805.5,CAG
C24.818,NAG
C24.828.1,OAG
C24.834,OAG
C24.834.1,OAG
C24.835,CAG
C24.836.1,CAG
C24.837,OAG
C24.837.3,OAG
C24.845.1,CAG
C24.846.4,OAG
C24.852.2,OAG
C24.852.3,OAG
C24.854.3,CAG
C24.858,CAG
C24.866.4,CAG
C24.868,OAG
C24.869.1,CAG
C24.869.2,NAG
C24.869.4,OAG
C24.869.5,CAG
C24.871,OAG
C24.880,OAG
C24.889,CAG
C24.896,OAG
C24.896.1,CAG
C24.896.3,NAG
C24.916,CAG
C24.916.1,OAG
C24.918,CAG
C24.933,OAG
C24.938,OAG
C24.940,OAG
C24.949,OAG
C24.963,CAG
C24.966,CAG
C24.967,CAG
C24.971,OAG
C24.985,OAG
C24.989,OAG
C24.1010,CAG
C24.1021,OAG
C24.1023,CAG
C24.1029,OAG
C24.1036.1,CAG
C24.1041,CAG
C24.1043,OAG
C24.1046,OAG
C24.1049,CAG
C24.1050,OAG
C24.1051,OAG
C24.1060,CAG
C24.1060.1,CAG
C24.1060.2,OAG
C24.1076,OAG
C24.1077,OAG
C24.1080,CAG
C24.1084,OAG
C24.1106,CAG
C24.1113,CAG
C24.1118,OAG
C24.1127.2,CAG
C24.1127.3,OAG
C24.1140,OAG
C24.1156,CAG
C24.1162,OAG
C24.1167,OAG
C24.1170,OAG
C24.1171,OAG
C24.1180,CAG
C24.1181,CAG
C24.1185,CAG
C24.1187,OAG
C24.1188,CAG
C24.1193,CAG
C24.1196,OAG
C24.1204.5,CAG
C24.1206,OAG
C24.1208.1,OAG
C24.1211,CAG
C24.1228,CAG
C24.1228.1,CAG
C24.1233,OAG
C24.1244,CAG
C24.1248,CAG
C24.1248.1,OAG
C24.1252,CAG
C24.1256,OAG
C24.1258.1,OAG
C24.1259.1,OAG
C24.1263,CAG
C24.1265,CAG
C24.1269,CAG
C24.1273.3,CAG
C24.1274,CAG
C24.1278,CAG
C24.1278.2,CAG
C24.1278.4,CAG
C24.1282,CAG
C24.1293,OAG
C24.1297,OAG
C24.1304,OAG
C24.1320,CAG
C24.1326,CAG
C24.1334,CAG
C24.1336,CAG
C24.1347,CAG
C24.1354.1,CAG
C24.1354.3,OAG
C24.1354.4,CAG
C24.1364,CAG
C24.1371,CAG
C24.1373,CAG
C24.1385,CAG
C24.1397,OAG
C24.1400,OAG
C24.1404,OAG
C24.1435,CAG
C24.1439,CAG
C24.1441,OAG
C24.1443,CAG
C24.1446,CAG
C24.1449,CAG
C24.1479,OAG
C24.1481,CAG
C24.1498,OAG
C24.1522,OAG
C24.1530,CAG
C24.1548,CAG
C24.1554,OAG
C24.1562,OAG
C24.1584,OAG
C24.1604,CAG
C24.1608,OAG
C24.1608.1,OAG
C24.1612,CAG
C24.1624,OAG
C24.1624.2,OAG
C24.1627,CAG
C24.1632,OAG
C24.1642,CAG
C24.1643,CAG
C24.1659,CAG
C24.1672,CAG
C24.1680,OAG
C24.1691,CAG
C24.1693,CAG
C24.1695,CAG
C24.1700.2,CAG
C24.1704,CAG
C24.1710,CAG
C24.1717,OAG
C24.1719,CAG
C24.1724,CAG
C24.1731,CAG
C24.1732,CAG
C24.1745,CAG
C24.1748,CAG
C24.1748.2,CAG
C24.1766,CAG
C24.1784,OAG
C24.1792,OAG
C24.1814.1,OAG
C24.1814.2,OAG
C24.1814.3,OAG
C24.1820,OAG
C24.1837,OAG
C24.1855,OAG
C24.1858,OAG
C24.1882,OAG
C24.1900,OAG
C24.1911,OAG
C24.1923,OAG
C24.1925,OAG
C24.1926,OAG
C24.1959,NAG
C24.1965,OAG
C24.1968,OAG
C24.2001,CAG
C24.2017,OAG
C24.2020,CAG
C24.2022,NAG
C24.2035.1,OAG
C24.2079,OAG
C24.2092,OAG
C24.2095,OAG
C24.2100,OAG
C24.2102,OAG
C24.2103.1,OAG
C24.2154,OAG
C24.2176,OAG
C24.2192,CAG
C24.2217,CAG
C24.2236,OAG
C24.2293,OAG
C24.2296,OAG
C24.2317.5,OAG
C24.2327,OAG
C24.2328,OAG
C24.2329,OAG
C24.2366,OAG
C24.2378,OAG
C24.2379,OAG
C24.2386,OAG
C24.2387,OAG
C24.2421,OAG
C24.2426,OAG
C24.2446,OAG
C24.2460.1,OAG
C24.2468,OAG
C24.2474,OAG
C24.2476,OAG
C24.2488,OAG
C24.2504,OAG
C24.2534,OAG
C24.2539,OAG
C24.2628,OAG
C24.2637,OAG
C24.2641.1,OAG
C24.2670,OAG
C24.2710,OAG
C24.2721,OAG
C24.2727,OAG
C24.2733.2,OAG
C24.2747,OAG
C24.2765.2,OAG
C24.2768,OAG
C24.2784,OAG
C24.2789,OAG
C24.2792,OAG
C24.2809,OAG
C24.2821,OAG
C24.2826,OAG
C24.2839,OAG
C24.2842,OAG
C24.2845,OAG
C24.2846,OAG
C24.2853,OAG
C24.2858.1,OAG
C24.2889,OAG
C24.2912.3,OAG
C24.2915.3,OAG
C24.2926,OAG
C24.2944,OAG
C24.2964,OAG
C24.2997,CAG
C24.3031,OAG
C24.3060,OAG
C24.3069,OAG
C24.3077.1,OAG
C24.3078,OAG
C24.3082,OAG
C24.3144,OAG
C24.3203,OAG
C24.3254,OAG
C24.3277,OAG
C24.3296.1,NAG
C24.3371,OAG
C24.3382,OAG
C24.3422,OAG
C24.3442,CAG
C24.3446,OAG
C24.3472,OAG
C24.3473,OAG
C24.3836,NAG
C24.3896,OAG
C24.3920,CAG
C24.3933,OAG
C24.4033,OAG
C24.4250,OAG
C24.4264,CAG
C24.4420,OAG
C24.4714,NAG
C24.4765,CAG
C39.6,NAG
C39.26,NAG
C39.44,OAG
C39.45,CAG
C39.56,CAG
C39.79,CAG
C39.97,CAG
C8.236,OAG
C8.315,OAG
C8.764,OAG
C8.1256,OAG
C8.1386,OAG
C8.1441,CAG
C8.1454,NAG
C8.1683,OAG
C8.2151,OAG
C8.2195,OAG
C8.2417,NAG
C8.2444,OAG
C8.2454,CAG
C8.3001,OAG
C8.3053,OAG
C8.3535,OAG
C8.4325.2,OAG
C8.4563,OAG
C8.6044,OAG
C8.6424,OAG
C8.6603,OAG
C8.6950.3,OAG
C8.7177,OAG
C8.8104,OAG
C8.9270.2,OAG
C8.9311.3,CAG
C8.9418,OAG
C8.9587,OAG
C8.9632,NAG
C8.10334,OAG
C8.10776,OAG
C8.10920,CAG
C8.11000,OAG
C8.11423.2,CAG
C8.12427,OAG
C8.12923,NAG
C8.12952.1,OAG
C8.13071,OAG
C8.13096,NAG
C8.13548,OAG
C8.13573,OAG
C8.14130,NAG
C8.14399,CAG
C8.15006,OAG
C8.15395,CAG
C8.16291,OAG
C8.16820.2,CAG
C40.4,NAG
C40.7,NAG
C40.18,NAG
C40.36,NAG
C40.37,NAG
C40.46,NAG
C40.47.1,NAG
C40.52,CAG
C40.59.3,NAG
C40.81,NAG
C40.83,NAG
C40.87,NAG
C40.116.1,NAG
C40.131,CAG
C40.150,NAG
C40.169,NAG
C41.40,NAG
C41.85,CAG
C41.92,OAG
C41.99,OAG
C41.114,CAG
C41.121.1,NAG
C41.123,NAG
C41.138,NAG
C41.178,CAG
C41.190,NAG
C41.193,CAG
C41.205,OAG
C41.228,NAG
C41.231.2,OAG
C41.244,CAG
C41.282.2,NAG
C41.324,NAG
C41.352.3,NAG
C41.352.4,CAG
C41.370,CAG
C41.393.1,NAG
C41.394,NAG
C41.417.1,NAG
C41.418.5,NAG
C41.433.1,OAG
C6.235,NAG
C6.570,NAG
C6.2356,CAG
C6.2877,CAG
C6.3537.1,CAG
C17.176,CAG
C17.216.1,CAG
C17.231.1,CAG
C17.236.2,CAG
C17.256.2,CAG
C17.260.1,CAG
C3.301,OAG
C35.2,NAG
C35.37,NAG
C35.47.4,NAG
C35.50,CAG
C35.60,NAG
C35.71,CAG
C35.78,NAG
C35.78.1,NAG
C35.78.3,CAG
C35.80,NAG
C35.83,NAG
C35.84,NAG
C35.86,NAG
C35.88,NAG
C35.89,NAG
C35.89.1,NAG
C35.97,NAG
C35.102.1,NAG
C35.121,NAG
C16.65,OAG
C16.82,CAG
C60.548,NAG
C60.553,NAG
C60.554,NAG
C60.557,NAG
C60.559,NAG
C60.567,NAG
C60.567.1,NAG
C60.567.2,NAG
C60.574,NAG
C60.576,NAG
C60.581,NAG
C60.585,NAG
C60.586,NAG
C60.587,NAG
C60.591,NAG
C60.596,NAG
C60.600,NAG
C60.606,NAG
C60.607,NAG
C60.612,NAG
C60.621,NAG
C60.625,NAG
C60.637.1,NAG
C60.637.2,NAG
C60.637.3,NAG
C60.638,NAG
C60.640,NAG
C60.641,NAG
C60.643,NAG
C60.644,NAG
C60.664,NAG
C60.667,NAG
C60.674,NAG
C60.681,NAG
C60.683,NAG
C60.689,NAG
C60.693,NAG
C60.694,NAG
C60.698,NAG
C60.699.2,NAG
C60.706,NAG
C60.713,NAG
C60.714,NAG
C60.715,NAG
C60.720.1,NAG
C60.721,NAG
C60.728,NAG
C60.729,NAG
C60.730.1,NAG
C60.735,NAG
C60.737,NAG
C60.740,NAG
C60.741,NAG
C60.750,NAG
C60.759,NAG
C60.764,NAG
C60.766,NAG
C60.771,NAG
C60.774,NAG
C60.777,NAG
C60.778,NAG
C60.779,NAG
C60.787,NAG
C60.794,NAG
C60.799,NAG
C60.802,NAG
C60.803,NAG
C60.812,NAG
C60.820,NAG
C60.820.1,NAG
C60.821,NAG
C60.834,NAG
C60.848,NAG
C60.849,NAG
C60.866,NAG
C60.867,NAG
C60.870.1,NAG
C60.872,NAG
C60.873,NAG
C60.881,NAG
C60.885,NAG
C60.889,NAG
C60.890,NAG
C60.893,NAG
C60.896,NAG
C60.901,NAG
C60.903,NAG
C60.912,NAG
C60.919,NAG
C60.940,NAG
C60.941,NAG
C60.944,NAG
C60.948,NAG
C60.950.1,NAG
C60.952,NAG
C60.956,NAG
C60.961.1,NAG
C60.962,NAG
C60.965,NAG
C60.966,NAG
C60.977,NAG
C60.978,NAG
C60.980,NAG
C60.982,NAG
C60.984,NAG
C60.985,NAG
C60.988,NAG
C60.990,NAG
C60.993,NAG
C60.995.1,NAG
C60.997,NAG
C60.999,NAG
C60.1002,NAG
C60.1003,NAG
C60.1016,NAG
C60.1023.1,NAG
C60.1025,NAG
C60.1028.1,NAG
C60.1036,NAG
C60.1037,NAG
C60.1038,NAG
C60.1039,NAG
C60.1042,NAG
C60.1043,NAG
C60.1044,NAG
C60.1045,NAG
C60.1045.1,NAG
C60.1047,NAG
Youtube Corpus 51,NAG
C51.1,NAG
C51.4,NAG
C51.6,NAG
C51.7,NAG
C51.8,NAG
C51.17,NAG
C51.19,NAG
C51.22,NAG
C51.23,NAG
C51.24.1,NAG
C51.24.4,NAG
C51.28,NAG
C51.29.2,NAG
C51.30,NAG
C51.31,NAG
C51.33.2,NAG
C51.34,NAG
C51.35.4,NAG
C51.35.5,NAG
C51.37,NAG
C51.39.2,NAG
YoutubeCorpus18,NAG
C18.1,NAG
C18.2,NAG
C18.3,NAG
C18.4,NAG
C18.7,NAG
C18.9,NAG
C18.10,NAG
C18.11,NAG
C18.12,NAG
C18.13,NAG
C18.16,NAG
C18.17,NAG
C18.18,NAG
C18.19,NAG
C18.20,NAG
C18.21,NAG
C18.22,NAG
C18.23,NAG
C18.24,NAG
C18.25,NAG
C18.26,NAG
C18.27,NAG
C18.28,NAG
C18.29,NAG
C18.31,NAG
C18.32,NAG
C18.33,NAG
C18.34,NAG
C18.35,NAG
C18.36,NAG
C18.37,NAG
C18.38,NAG
C18.39,NAG
C18.40,NAG
C18.41,NAG
C18.42,NAG
C18.43,NAG
C18.44,NAG
C18.45,NAG
C18.46,NAG
C18.47,NAG
C18.47.1,NAG
C18.49,NAG
C18.50,NAG
C18.53,NAG
C18.54,NAG
C18.55,NAG
C18.56,NAG
C18.57,NAG
C18.59,NAG
C18.59.2,NAG
C18.59.3,NAG
C18.59.5,NAG
C18.60,NAG
C18.61,NAG
C18.62,NAG
C18.63,NAG
C18.66,NAG
C18.66.1,NAG
C18.66.2,NAG
C18.66.4,NAG
C18.67,NAG
C18.68,NAG
C18.68.1,NAG
C18.68.2,NAG
C18.68.3,NAG
C18.69,NAG
C18.70,NAG
C18.70.1,NAG
C18.70.2,NAG
C18.71,NAG
C18.72,NAG
C18.73,NAG
C18.74,NAG
C18.75,NAG
C18.75.1,NAG
C18.75.2,NAG
C18.76,NAG
C18.77,NAG
C18.78,NAG
C18.79,NAG
C18.80,NAG
C18.80.1,NAG
C18.80.2,NAG
C18.80.3,NAG
C18.80.4,NAG
C18.80.5,NAG
C18.81,NAG
C18.81.1,NAG
C18.82,NAG
C18.83,NAG
C18.83.1,NAG
C18.84,NAG
C18.85,NAG
C18.85.1,NAG
C18.85.2,NAG
C18.85.3,NAG
C18.85.4,NAG
C18.85.5,NAG
C18.87,NAG
C18.87.1,NAG
C18.87.2,NAG
C18.87.3,NAG
C18.88,NAG
C18.88.1,NAG
C18.88.2,NAG
C18.88.3,NAG
C18.88.4,NAG
C18.88.5,NAG
C18.89,NAG
C18.90,NAG
YoutubeCorpus24,NAG
C24.1,NAG
C24.2,NAG
C24.3,NAG
C24.5,NAG
C24.6.1,NAG
C24.7,NAG
C24.8,NAG
C24.9,NAG
C24.10,NAG
C24.10.1,NAG
C24.11,NAG
C24.12,NAG
C24.12.1,NAG
C24.13,NAG
C24.14,NAG
C24.14.1,NAG
C24.14.2,NAG
C24.15,NAG
C24.15.1,NAG
C24.17,NAG
C24.19,NAG
C24.20,NAG
C24.21,NAG
C24.22,NAG
C24.24,NAG
C24.25,NAG
C24.26,NAG
C24.28,NAG
C24.29.1,NAG
C24.29.2,NAG
C24.30,NAG
C24.30.1,NAG
C24.30.2,NAG
C24.30.3,NAG
C24.31,NAG
C24.31.1,NAG
C24.32,NAG
C24.34,NAG
C24.35,NAG
C24.35.1,NAG
C24.36,NAG
C24.37,NAG
C24.38,NAG
C24.39,NAG
C24.40,NAG
C24.41.1,NAG
C24.42,NAG
C24.43,NAG
C24.43.1,NAG
C24.44,NAG
C24.46,NAG
C24.47,NAG
C24.47.1,NAG
C24.47.2,NAG
C24.47.3,NAG
C24.47.4,NAG
C24.47.5,NAG
C24.48,NAG
C24.50,NAG
C24.50.1,NAG
