ID,Sub-task B
C53.7,GEN
C53.8,NGEN
C53.9,GEN
C53.10,NGEN
C53.10.1,NGEN
C53.11,NGEN
C53.11.2,NGEN
C53.11.3,NGEN
C53.11.5,NGEN
C53.12,NGEN
C53.13,GEN
C53.13.2,NGEN
C60.1,NGEN
C60.1.2,NGEN
C60.1.4,NGEN
C60.2,NGEN
C60.4,NGEN
C60.6,NGEN
C60.7,NGEN
C60.10,NGEN
C60.11,NGEN
C60.12,NGEN
C60.14,NGEN
C60.15,NGEN
C60.16,NGEN
C60.17,NGEN
C60.18,NGEN
C60.19,NGEN
C60.20,NGEN
C60.22,NGEN
C60.23,NGEN
C60.24,NGEN
C60.25,NGEN
C60.26,NGEN
C60.28,NGEN
C60.30,NGEN
C60.31,NGEN
C60.32,NGEN
C60.37,NGEN
C60.38,NGEN
C60.40,NGEN
C60.42,NGEN
C60.44,NGEN
C60.45,NGEN
C60.46,GEN
C60.47,NGEN
C60.50,NGEN
C60.51,GEN
C60.52,NGEN
C60.53,NGEN
C60.54,NGEN
C60.55,NGEN
C60.56,NGEN
C60.57,NGEN
C60.59,NGEN
C60.60,NGEN
C60.61,NGEN
C60.62,NGEN
C60.63,NGEN
C60.64,NGEN
C60.65,NGEN
C60.66,NGEN
C60.67,NGEN
C60.71,NGEN
C60.73,NGEN
C60.74,NGEN
C60.75,NGEN
C60.76,NGEN
C60.77,NGEN
C60.78,NGEN
C60.80,NGEN
C60.81,NGEN
C60.83,NGEN
C60.84,NGEN
C60.85,NGEN
C60.86,NGEN
C60.87,NGEN
C60.88,NGEN
C60.89,NGEN
C60.90,NGEN
C60.92,NGEN
C60.93,NGEN
C60.94,NGEN
C60.95,GEN
C60.96,NGEN
C60.97,NGEN
C60.98,GEN
C60.99,NGEN
C60.100,NGEN
C60.101,NGEN
C60.103,NGEN
C60.104,NGEN
C60.105,NGEN
C60.106,NGEN
C60.107,NGEN
C60.108,NGEN
C60.113,NGEN
C60.114,NGEN
C60.115,NGEN
C60.116,NGEN
C60.119,NGEN
C60.120,NGEN
C60.121,NGEN
C60.122,NGEN
C60.123,NGEN
C60.124,NGEN
C60.125,NGEN
C60.126,NGEN
C60.128,GEN
C60.129,GEN
C60.130,NGEN
C60.131,NGEN
C60.132,NGEN
C60.133,NGEN
C60.135,NGEN
C60.138,NGEN
C60.140,NGEN
C60.141,NGEN
C60.143,NGEN
C60.144,NGEN
C60.146,NGEN
C60.147,GEN
C60.148,NGEN
C60.149,NGEN
C60.150,NGEN
C60.151,NGEN
C60.152,NGEN
C60.153,NGEN
C60.156,NGEN
C60.157,GEN
C60.158,NGEN
C60.162,NGEN
C60.163,NGEN
C60.164,NGEN
C60.165,NGEN
C60.166,NGEN
C60.168,NGEN
C60.169,NGEN
C60.170,NGEN
C60.172,NGEN
C60.173,NGEN
C60.174,NGEN
C60.176,NGEN
C60.179,NGEN
C60.181,NGEN
C60.182,GEN
C60.183,NGEN
C60.185,NGEN
C60.186,NGEN
C60.187,GEN
C60.188,NGEN
C60.189,NGEN
C60.190,GEN
C60.191,NGEN
C60.192,NGEN
C60.194,NGEN
C60.196,NGEN
C60.198,NGEN
C60.199,NGEN
C60.200,NGEN
C60.201,GEN
C60.202,NGEN
C60.203,NGEN
C60.204,NGEN
C60.205,NGEN
C60.208,NGEN
C60.211,NGEN
C60.212,NGEN
C60.214,NGEN
C60.215,NGEN
C60.216,NGEN
C60.217,GEN
C60.219,NGEN
C60.222,NGEN
C60.223,NGEN
C60.225,NGEN
C60.226,NGEN
C60.228,NGEN
C60.229,NGEN
C60.230,NGEN
C60.231,NGEN
C60.232,NGEN
C60.233,NGEN
C60.234,NGEN
C60.236,NGEN
C60.237,NGEN
C60.238,NGEN
C60.239,NGEN
C60.241,NGEN
C60.243,NGEN
C60.245,NGEN
C60.246,NGEN
C60.247,NGEN
C60.249,NGEN
C60.250,NGEN
C60.251,NGEN
C60.252,NGEN
C60.253,NGEN
C60.254,NGEN
C60.255,NGEN
C60.256,NGEN
C60.259,NGEN
C60.260,NGEN
C60.261,NGEN
C60.262,NGEN
C60.264,NGEN
C60.265,NGEN
C60.268,NGEN
C60.269,NGEN
C60.271,NGEN
C60.272,NGEN
C60.273,NGEN
C60.274,NGEN
C60.275,NGEN
C60.276,NGEN
C60.277,NGEN
C60.278,NGEN
C60.280,NGEN
C60.281,NGEN
C60.282,NGEN
C60.283,NGEN
C60.284,NGEN
C60.288,NGEN
C60.289,NGEN
C60.289.1,NGEN
C60.290,NGEN
C60.291,GEN
C60.292,NGEN
C60.293,NGEN
C60.294,NGEN
C60.295,NGEN
C60.295.1,NGEN
C60.297,NGEN
C60.301,NGEN
C60.302,NGEN
C60.303,NGEN
C60.304,NGEN
C60.306,NGEN
C60.307,NGEN
C60.308,NGEN
C60.309,NGEN
C60.310,NGEN
C60.311,NGEN
C60.312,NGEN
C60.313,NGEN
C60.315,NGEN
C60.316,NGEN
C60.317,NGEN
C60.318,NGEN
C60.319,NGEN
C60.323,NGEN
C60.324,NGEN
C60.327,NGEN
C60.328,NGEN
C60.329,NGEN
C60.330,NGEN
C60.332,NGEN
C60.334,NGEN
C60.336,NGEN
C60.337,NGEN
C60.338,NGEN
C60.340,NGEN
C60.341,NGEN
C60.349,GEN
C60.351,NGEN
C60.353,NGEN
C60.354,NGEN
C60.362,GEN
C60.366,NGEN
C60.368,NGEN
C60.369,NGEN
C60.378,NGEN
C60.383,NGEN
C60.400,NGEN
C60.403,NGEN
C60.404,NGEN
C60.410,NGEN
C60.413,NGEN
C60.424,GEN
C60.425,NGEN
C60.432,NGEN
C60.435,NGEN
C60.448,NGEN
C60.455,GEN
C60.456,GEN
C60.457,NGEN
C60.461,NGEN
C60.464,NGEN
C60.468,GEN
C60.469,GEN
C60.473,NGEN
C60.473.1,NGEN
C60.479,GEN
C60.484,NGEN
C60.491,NGEN
C60.495,NGEN
C60.495.1,NGEN
C60.502,GEN
C60.503,NGEN
C60.509,NGEN
C60.510,GEN
C60.520,NGEN
C60.525,GEN
C60.527,GEN
C60.533,GEN
C60.535,NGEN
C60.537,NGEN
C60.546,NGEN
C60.552,NGEN
C60.560,NGEN
C60.566,NGEN
C60.569,NGEN
C60.571,NGEN
C60.572,GEN
C60.578,NGEN
C60.588,NGEN
C60.589,GEN
C60.616,NGEN
C60.619,NGEN
C60.623,NGEN
C60.633,NGEN
C60.635,NGEN
C60.646,NGEN
C60.665,NGEN
C60.679,GEN
C60.685,NGEN
C60.704,NGEN
C60.710,NGEN
C60.711,NGEN
C60.717,NGEN
C60.742,GEN
C60.745,NGEN
C60.746,NGEN
C60.749,NGEN
C60.752,NGEN
C60.766.1,NGEN
C60.784,NGEN
C60.791,GEN
C60.800,NGEN
C60.801,NGEN
C60.825,GEN
C60.827,NGEN
C60.829,NGEN
C60.831,GEN
C60.833,GEN
C60.842,NGEN
C60.863,NGEN
C60.875,NGEN
C60.880,NGEN
C60.892,NGEN
C60.894,GEN
C60.913,GEN
C60.930,GEN
C60.931,NGEN
C60.934,NGEN
C60.947,NGEN
C60.951,NGEN
C60.960,NGEN
C60.972,NGEN
C60.986,NGEN
C60.1018,NGEN
C60.1020,GEN
C60.1030,NGEN
C51.3,NGEN
C51.10,GEN
C51.14,NGEN
C51.21,NGEN
C51.25,NGEN
C51.26,GEN
C51.27.4,NGEN
C51.32,NGEN
C51.33,GEN
C51.35,GEN
C51.38,GEN
C51.39.1,GEN
C24.1623,GEN
C24.1795,GEN
C24.3392,NGEN
C24.3497,GEN
C8.121,NGEN
C8.404,GEN
C8.468,GEN
C8.491,GEN
C8.530,GEN
C8.615,NGEN
C8.905,GEN
C8.955,NGEN
C8.1005,NGEN
C8.1304,GEN
C8.1525.1,GEN
C8.1564,NGEN
C8.1612,GEN
C8.2011,GEN
C8.2117,GEN
C8.2163.1,NGEN
C8.2209,GEN
C8.2639,GEN
C8.2672,GEN
C8.2702,GEN
C8.2771,GEN
C8.2773,GEN
C8.2907,NGEN
C8.2941,GEN
C8.2948,NGEN
C8.3007,GEN
C8.3021,NGEN
C8.3275,GEN
C8.3749,GEN
C8.3820,NGEN
C8.4085,NGEN
C8.4111,GEN
C8.4331,GEN
C8.4751,NGEN
C8.4827,NGEN
C8.4988,GEN
C8.5110,GEN
C8.5220,GEN
C8.5286,GEN
C8.5314,GEN
C8.5330,GEN
C8.5481,GEN
C8.5579,GEN
C8.5714,NGEN
C8.5801,GEN
C8.5929,GEN
C8.5976,GEN
C8.6042,NGEN
C8.6203,NGEN
C8.6370,GEN
C8.6417,GEN
C8.6425,GEN
C8.6581,GEN
C8.6638,GEN
C8.6699,NGEN
C8.6715,NGEN
C8.6743,GEN
C8.6811,NGEN
C8.6873,NGEN
C8.7044,GEN
C8.7176,NGEN
C8.7213,GEN
C8.7239,GEN
C8.7279,GEN
C8.7353,GEN
C8.7405,NGEN
C8.7446,NGEN
C8.7465,GEN
C8.7705,GEN
C8.7735,GEN
C8.7795,GEN
C8.7842,GEN
C8.7924,NGEN
C8.8005.1,GEN
C8.8053,GEN
C8.8089,GEN
C8.8285,GEN
C8.8304,GEN
C8.8321,GEN
C8.8322,GEN
C8.8405,GEN
C8.8616,GEN
C8.8633,GEN
C8.8743,NGEN
C8.8756,NGEN
C8.9278,NGEN
C8.9327,NGEN
C8.9757,NGEN
C8.9767.1,GEN
C8.9789,GEN
C8.9793,GEN
C8.9864,GEN
C8.9884,GEN
C8.9994,NGEN
C8.10977,NGEN
C8.11045,NGEN
C8.11242,GEN
C8.11505,NGEN
C8.11674,GEN
C8.11786,GEN
C8.11977,NGEN
C8.11982,GEN
C8.12098,GEN
C8.12273,GEN
C8.12274,GEN
C8.12275,GEN
C8.12276,GEN
C8.12277,GEN
C8.12278,GEN
C8.12415,NGEN
C8.12598,GEN
C8.12709,GEN
C8.12787,GEN
C8.13739,GEN
C8.13883,NGEN
C8.13998,NGEN
C8.14732,NGEN
C8.14742,GEN
C8.14842,NGEN
C8.14888,GEN
C8.15033,NGEN
C8.15219.2,NGEN
C8.16623,NGEN
C8.16658,GEN
C48.1,GEN
C48.2,GEN
C48.4,NGEN
C48.7,GEN
C48.7.2,GEN
C48.8,GEN
C48.9,GEN
C48.10,GEN
C48.12,GEN
C48.13,GEN
C48.14,GEN
C48.15,GEN
C48.17,GEN
C48.18,GEN
C48.21,GEN
C48.22,GEN
C48.23,GEN
C48.24,GEN
C48.25,GEN
C48.26,GEN
C48.30,NGEN
C48.33,GEN
C48.35,GEN
C48.37,NGEN
C48.38,GEN
C48.42,GEN
C6.497,GEN
C6.828,NGEN
C6.830,NGEN
C6.1015,NGEN
C6.1577,NGEN
C6.2362,GEN
C6.2445,GEN
C6.2641,NGEN
C6.2683,GEN
C6.2904,NGEN
C6.3317,NGEN
C6.3654,NGEN
C6.3713,GEN
C6.3970,GEN
C6.4034,NGEN
C6.4042,NGEN
C17.33,NGEN
C50.1,NGEN
C50.3,NGEN
C50.4,NGEN
C50.7,GEN
C50.8,NGEN
C50.13,NGEN
C50.14,NGEN
C50.15,NGEN
C50.15.1,NGEN
C50.16,NGEN
C50.20,NGEN
C3.113.1,NGEN
C35.53.1,NGEN
C54.1,GEN
C54.2,GEN
C54.3,GEN
C54.4,GEN
C54.5,NGEN
C54.10,GEN
C54.10.1,NGEN
C54.12.1,NGEN
C54.12.2,NGEN
C54.13,GEN
C54.16,GEN
C54.21,NGEN
C54.22,GEN
C54.23,NGEN
C54.30,NGEN
C54.31,GEN
C54.34,GEN
C54.34.1,GEN
C54.36,GEN
C54.37,GEN
C54.40,GEN
C54.44,GEN
C54.44.2,NGEN
C54.45,NGEN
C54.46,NGEN
C54.46.1,GEN
C54.47,GEN
C54.52,NGEN
C54.54,NGEN
C54.58,GEN
C54.61,NGEN
C54.61.3,NGEN
C54.63,NGEN
C54.63.1,NGEN
C54.64,NGEN
C54.64.2,GEN
C54.65,NGEN
C54.67,GEN
C54.68,GEN
C54.69,GEN
C16.58,NGEN
C16.89,NGEN
C16.107,GEN
C16.185,GEN
C16.345.1,NGEN
C16.393,NGEN
C16.439,NGEN
C60.343,NGEN
C60.350,NGEN
C60.351.1,NGEN
C60.356,NGEN
C60.358,NGEN
C60.361,NGEN
C60.363,NGEN
C60.364,NGEN
C60.365,NGEN
C60.374,NGEN
C60.375,NGEN
C60.376,NGEN
C60.377,NGEN
C60.379,NGEN
C60.380,NGEN
C60.381,NGEN
C60.382,NGEN
C60.385,NGEN
C60.386,NGEN
C60.387,NGEN
C60.388,NGEN
C60.390,NGEN
C60.391,NGEN
C60.392,NGEN
C60.393,NGEN
C60.395,NGEN
C60.397,NGEN
C60.399,NGEN
C60.401,NGEN
C60.402,NGEN
C60.404.1,NGEN
C60.405,NGEN
C60.407,NGEN
C60.409,NGEN
C60.411,NGEN
C60.412,NGEN
C60.415,NGEN
C60.416,NGEN
C60.417,NGEN
C60.418,NGEN
C60.419,NGEN
C60.420,NGEN
C60.421,NGEN
C60.422,NGEN
C60.423,NGEN
C60.427,NGEN
C60.429,NGEN
C60.429.1,NGEN
C60.431,NGEN
C60.432.2,NGEN
C60.432.4,NGEN
C60.433,NGEN
C60.437,NGEN
C60.438,NGEN
C60.440,NGEN
C60.442,NGEN
C60.443,NGEN
C60.444,NGEN
C60.445,NGEN
C60.446,NGEN
C60.447,NGEN
C60.449,NGEN
C60.451,NGEN
C60.453,NGEN
C60.454,NGEN
C60.458,NGEN
C60.459,NGEN
C60.460,NGEN
C60.462,NGEN
C60.463,NGEN
C60.467,NGEN
C60.470,NGEN
C60.476,NGEN
C60.477,NGEN
C60.480,NGEN
C60.485,NGEN
C60.488,NGEN
C60.489,NGEN
C60.492,NGEN
C60.493,NGEN
C60.494,NGEN
C60.497,NGEN
C60.498,NGEN
C60.501,NGEN
C60.504,NGEN
C60.505,NGEN
C60.507,NGEN
C60.508,NGEN
C60.511,NGEN
C60.512,NGEN
C60.514,NGEN
C60.515,NGEN
C60.516,NGEN
C60.517,NGEN
C60.518,NGEN
C60.521,NGEN
C60.524,NGEN
C60.529,NGEN
C60.530,NGEN
C60.532,NGEN
C60.534,NGEN
C60.536,NGEN
C60.541,NGEN
C60.545,NGEN
C60.549,NGEN
C60.550,NGEN
C60.551,NGEN
C60.555,NGEN
C60.556,NGEN
C60.558,NGEN
C60.561,NGEN
C60.562,NGEN
C60.563,NGEN
C60.564,NGEN
C60.565,NGEN
C60.568,NGEN
C60.570,NGEN
C60.573,NGEN
C60.575,NGEN
C60.577,NGEN
C60.579,NGEN
C60.580,NGEN
C60.582,NGEN
C60.583,NGEN
C60.584,NGEN
C60.590,NGEN
C60.592,NGEN
C60.593,NGEN
C60.594,NGEN
C60.595,NGEN
C60.597,NGEN
C60.598,NGEN
C60.599,NGEN
C60.601,NGEN
C60.602,NGEN
C60.603,NGEN
C60.604,NGEN
C60.605,NGEN
C60.608,NGEN
C60.609,NGEN
C60.610,NGEN
C60.611,NGEN
C60.613,NGEN
C60.614,NGEN
C60.615,NGEN
C60.617,NGEN
C60.618,NGEN
C60.620,NGEN
C60.622,NGEN
C60.624,NGEN
C60.626,NGEN
C60.627,NGEN
C60.628,NGEN
C60.629,NGEN
C60.630,NGEN
C60.631,NGEN
C60.632,NGEN
C60.634,NGEN
C60.636,NGEN
C60.637,NGEN
C60.637.4,NGEN
C60.637.5,NGEN
C60.639,NGEN
C60.642,NGEN
C60.645,NGEN
C60.647,NGEN
C60.648,NGEN
C60.649,NGEN
C60.650,NGEN
C60.651,NGEN
C60.652,NGEN
C60.653,NGEN
C60.654,NGEN
C60.656,NGEN
C60.657,NGEN
C60.658,NGEN
C60.659,NGEN
C60.660,NGEN
C60.661,NGEN
C60.662,NGEN
C60.663,NGEN
C60.666,NGEN
C60.668,NGEN
C60.669,NGEN
C60.670,NGEN
C60.671,NGEN
C60.672,NGEN
C60.673,NGEN
C60.675,NGEN
C60.676,NGEN
C60.677,NGEN
C60.678,NGEN
C60.680,NGEN
C60.682,NGEN
C60.684,NGEN
C60.686,NGEN
C60.687,NGEN
C60.688,NGEN
C60.690,NGEN
C60.691,NGEN
C60.692,NGEN
C60.695,NGEN
C60.696,NGEN
C60.697,NGEN
C60.699,NGEN
C60.699.1,NGEN
C60.699.3,NGEN
C60.699.4,NGEN
C60.700,NGEN
C60.701,NGEN
C60.702,NGEN
C60.703,NGEN
C60.705,NGEN
C60.707,NGEN
C60.709,NGEN
C60.712,NGEN
C60.716,NGEN
C60.716.1,NGEN
C60.718,NGEN
C60.719,NGEN
C60.720,NGEN
C60.722,NGEN
C60.723,NGEN
C60.724,NGEN
C60.724.1,NGEN
C60.725,NGEN
C60.726,NGEN
C60.727,NGEN
C60.730,NGEN
C60.731,NGEN
C60.733,NGEN
C60.734,NGEN
C60.736,NGEN
C60.738,NGEN
C60.739,NGEN
C60.743,NGEN
C60.747,NGEN
C60.748,NGEN
C60.751,NGEN
C60.753,NGEN
C60.754,NGEN
C60.755,NGEN
C60.756,NGEN
C60.757,NGEN
C60.758,NGEN
C60.760,NGEN
C60.761,NGEN
C60.762,NGEN
C60.763,NGEN
C60.763.1,NGEN
C60.765,NGEN
C60.767,NGEN
C60.768,NGEN
C60.769,NGEN
C60.770,NGEN
C60.770.1,NGEN
C60.772,NGEN
C60.773,NGEN
C60.775,NGEN
C60.776,NGEN
C60.780,NGEN
C60.781,NGEN
C60.782,NGEN
C60.783,NGEN
C60.785,NGEN
C60.786,NGEN
C60.788,NGEN
C60.789,NGEN
C60.790,NGEN
C60.792,NGEN
C60.793,NGEN
C60.795,NGEN
C60.796,NGEN
C60.797,NGEN
C60.798,NGEN
C60.804,NGEN
C60.804.1,NGEN
C60.805,NGEN
C60.806,NGEN
C60.807,NGEN
C60.808,NGEN
C60.809,NGEN
C60.810,NGEN
C60.811,NGEN
C60.813,NGEN
C60.814,NGEN
C60.815,NGEN
C60.816,NGEN
C60.818,NGEN
C60.819,NGEN
C60.822,NGEN
C60.823,NGEN
C60.824,NGEN
C60.826,NGEN
C60.828,NGEN
C60.830,GEN
C60.832,NGEN
C60.835,NGEN
C60.836,NGEN
C60.837,NGEN
C60.838,NGEN
C60.839,NGEN
C60.840,NGEN
C60.841,NGEN
C60.843,NGEN
C60.844,NGEN
C60.845,NGEN
C60.846,NGEN
C60.847,NGEN
C60.850,NGEN
C60.851,NGEN
C60.852,NGEN
C60.853,NGEN
C60.854,NGEN
C60.855,NGEN
C60.856,NGEN
C60.857,NGEN
C60.858,NGEN
C60.859,NGEN
C60.860,NGEN
C60.861,NGEN
C60.862,NGEN
C60.864,NGEN
C60.865,NGEN
C60.868,NGEN
C60.869,NGEN
C60.870,NGEN
C60.871,NGEN
C60.874,NGEN
C60.875.1,NGEN
C60.876,NGEN
C60.877,NGEN
C60.878,NGEN
C60.879,NGEN
C60.882,NGEN
C60.883,NGEN
C60.884,NGEN
C60.886,NGEN
C60.887,NGEN
C60.888,NGEN
C60.891,NGEN
C60.895,NGEN
C60.896.1,NGEN
C60.897,NGEN
C60.898,NGEN
C60.899,NGEN
C60.900,NGEN
C60.902,NGEN
C60.904,NGEN
C60.905,NGEN
C60.906,NGEN
C60.907,NGEN
C60.908,NGEN
C60.909,NGEN
C60.910,NGEN
C60.911,NGEN
C60.914,NGEN
C60.915,NGEN
C60.916,NGEN
C60.917,NGEN
C60.918,NGEN
C60.920,NGEN
C60.921,NGEN
C60.922,NGEN
C60.923,NGEN
C60.924,NGEN
C60.925,NGEN
C60.925.1,NGEN
C60.926,NGEN
C60.927,NGEN
C60.928,NGEN
C60.929,NGEN
C60.932,NGEN
C60.932.1,NGEN
C60.933,NGEN
C60.935,NGEN
C60.936,NGEN
C60.937,NGEN
C60.938,NGEN
C60.939,NGEN
C60.942,NGEN
C60.943,NGEN
C60.945,NGEN
C60.946,NGEN
C60.949,NGEN
C60.950,NGEN
C60.953,NGEN
C60.954,NGEN
C60.955,NGEN
C60.957,NGEN
C60.958,NGEN
C60.959,NGEN
C60.961,NGEN
C60.963,NGEN
C60.964,NGEN
C60.967,NGEN
C60.968,NGEN
C60.969,NGEN
C60.970,NGEN
C60.971,NGEN
C60.973,NGEN
C60.974,NGEN
C60.975,NGEN
C60.975.1,NGEN
C60.976,NGEN
C60.979,NGEN
C60.981,NGEN
C60.983,NGEN
C60.986.1,NGEN
C60.986.2,NGEN
C60.987,NGEN
C60.989,NGEN
C60.991,NGEN
C60.992,NGEN
C60.994,NGEN
C60.995,NGEN
C60.996,NGEN
C60.998,NGEN
C60.1000,NGEN
C60.1001,NGEN
C60.1004,NGEN
C60.1005,NGEN
C60.1006,NGEN
C60.1007,NGEN
C60.1008,NGEN
C60.1009,NGEN
C60.1010,NGEN
C60.1011,NGEN
C60.1012,NGEN
C60.1013,NGEN
C60.1014,NGEN
C60.1015,NGEN
C60.1017,NGEN
C60.1019,NGEN
C60.1021,NGEN
C60.1022,NGEN
C60.1023,NGEN
C60.1024,NGEN
C60.1026,NGEN
C60.1027,NGEN
C60.1028,NGEN
C60.1029,NGEN
C60.1031,NGEN
C60.1032,NGEN
C60.1033,NGEN
C60.1034,NGEN
C60.1035,NGEN
C60.1035.1,NGEN
C60.1040,NGEN
C60.1041,NGEN
C60.1046,NGEN
C51.2,NGEN
